title,first_genre,cleaned_plot,imdb_rating
One Flew Over the Cuckoo's Nest,drama,"['criminal', 'pleads', 'insanity', 'admitted', 'mental', 'institution', 'rebels', 'oppressive', 'nurse', 'rallies', 'scared', 'patients']",8.7
Rogue One: A Star Wars Story,action,"['time', 'conflict', 'group', 'unlikely', 'heroes', 'band', 'together', 'mission', 'steal', 'plans', 'death', 'star', 'empires', 'ultimate', 'weapon', 'destruction']",7.8
Ready Player One,action,"['creator', 'virtual', 'reality', 'called', 'oasis', 'dies', 'makes', 'posthumous', 'challenge', 'oasis', 'users', 'find', 'easter', 'egg', 'give', 'finder', 'fortune', 'control', 'world']",7.4
Let the Right One In,drama,"['oskar', 'overlooked', 'bullied', 'boy', 'finds', 'love', 'revenge', 'eli', 'beautiful', 'peculiar', 'girl']",7.9
Air Force One,action,"['communist', 'radicals', 'hijack', 'air', 'force', 'one', 'us', 'president', 'family', 'board', 'vice', 'president', 'negotiates', 'washington', 'dc', 'president', 'veteran', 'fights', 'rescue', 'hostages', 'board']",6.5
One Hundred and One Dalmatians,animation,"['litter', 'dalmatian', 'puppies', 'abducted', 'minions', 'cruella', 'de', 'vil', 'owners', 'must', 'find', 'uses', 'diabolical', 'fashion', 'statement']",7.3
One Day,drama,"['spending', 'night', 'together', 'night', 'college', 'graduation', 'dexter', 'emma', 'shown', 'year', 'date', 'see', 'lives', 'sometimes', 'together', 'sometimes', 'day']",7.0
One Hour Photo,drama,"['mentally', 'unstable', 'photo', 'developer', 'targets', 'upper', 'middleclass', 'family', 'obsession', 'becomes', 'sick', 'disturbing', 'could', 'imagine']",6.8
The Lucky One,drama,"['marine', 'travels', 'louisiana', 'serving', 'three', 'tours', 'iraq', 'searches', 'unknown', 'woman', 'believes', 'good', 'luck', 'charm', 'war']",6.4
It Happened One Night,comedy,"['renegade', 'reporter', 'trailing', 'young', 'runaway', 'heiress', 'big', 'story', 'joins', 'bus', 'heading', 'florida', 'new', 'york', 'end', 'stuck', 'bus', 'leaves', 'behind', 'one', 'stops']",8.1
Year One,comedy,"['banished', 'tribe', 'two', 'huntergatherers', 'encounter', 'biblical', 'characters', 'eventually', 'wind', 'city', 'sodom']",4.9
The One,action,"['rogue', 'multiverse', 'agent', 'goes', 'manhunt', 'alternate', 'versions', 'getting', 'stronger', 'kill', 'last', 'version', 'lasd', 'cop', 'stop', 'crusade', 'becomes', 'one']",5.9
Fear Street: Part One - 1994,drama,"['circle', 'teenage', 'friends', 'accidentally', 'encounter', 'ancient', 'evil', 'responsible', 'series', 'brutal', 'murders', 'plagued', 'town', '300', 'years', 'welcome', 'shadyside']",6.2
The Brave One,action,"['struggling', 'recover', 'emotionally', 'brutal', 'assault', 'killed', 'fiancé', 'left', 'coma', 'radio', 'personality', 'begins', 'quest', 'vengeance', 'perpetrators', 'leaves', 'bloody', 'trail', 'across', 'new', 'york', 'city']",6.7
"Two Days, One Night",drama,"['liège', 'belgium', 'sandra', 'factory', 'worker', 'discovers', 'workmates', 'opted', 'eur1000', 'bonus', 'exchange', 'dismissal', 'weekend', 'convince', 'colleagues', 'give', 'bonuses', 'order', 'keep']",7.3
One Fine Day,comedy,"['lives', 'two', 'strangers', 'young', 'children', 'unexpectedly', 'intersect', 'one', 'hectic', 'stressful', 'day', 'new', 'york', 'city']",6.5
One for the Money,action,"['unemployed', 'newlydivorced', 'stephanie', 'plum', 'lands', 'job', 'cousins', 'bailbond', 'business', 'first', 'assignment', 'puts', 'trail', 'wanted', 'local', 'cop', 'romantic', 'past']",5.3
Ra.One,action,"['titular', 'antagonist', 'action', 'game', 'takes', 'physical', 'form', 'games', 'less', 'powerful', 'protagonist', 'save', 'creators', 'family']",4.7
The One I Love,comedy,"['troubled', 'couple', 'vacate', 'beautiful', 'getaway', 'bizarre', 'circumstances', 'complicate', 'situation']",7.0
Batman: Year One,animation,"['wealthy', 'playboy', 'chicago', 'cop', 'return', 'gotham', 'city', 'lives', 'intersect', 'unexpected', 'ways']",7.4
One Night in Miami...,drama,"['fictional', 'account', 'one', 'incredible', 'night', 'icons', 'muhammad', 'ali', 'malcolm', 'x', 'sam', 'cooke', 'jim', 'brown', 'gathered', 'discussing', 'roles', 'civil', 'rights', 'movement', 'cultural', 'upheaval', '60s']",7.1
One Night at McCool's,comedy,"['every', 'man', 'different', 'recollection', 'beautiful', 'young', 'woman', 'wreaked', 'havoc', 'lives', 'one', 'heated', 'night']",6.2
