title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,dvd,box_office,production,website,response
One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,Drama,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",English,United States,Won 5 Oscars. 38 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.7/10'}, {'source': 'Rotten Tomatoes', 'value': '93%'}, {'source': 'Metacritic', 'value': '84/100'}]",84,8.7,"983,642",tt0073486,movie,16 Dec 1997,"$108,981,275",N/A,N/A,True
Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Chris Weitz, Tony Gilroy, John Knoll","Felicity Jones, Diego Luna, Alan Tudyk","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",English,United States,Nominated for 2 Oscars. 24 wins & 85 nominations total,https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.8/10'}, {'source': 'Rotten Tomatoes', 'value': '84%'}, {'source': 'Metacritic', 'value': '65/100'}]",65,7.8,"607,401",tt3748528,movie,04 Apr 2017,"$532,177,324",N/A,N/A,True
Ready Player One,2018,PG-13,29 Mar 2018,140 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Zak Penn, Ernest Cline","Tye Sheridan, Olivia Cooke, Ben Mendelsohn","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",English,"United States, India",Nominated for 1 Oscar. 11 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.4/10'}, {'source': 'Rotten Tomatoes', 'value': '72%'}, {'source': 'Metacritic', 'value': '64/100'}]",64,7.4,"422,237",tt1677720,movie,05 Apr 2018,"$137,715,350",N/A,N/A,True
Let the Right One In,2008,R,12 Dec 2008,114 min,"Drama, Fantasy, Horror",Tomas Alfredson,John Ajvide Lindqvist,"Kåre Hedebrant, Lina Leandersson, Per Ragnar","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Swedish, Spanish",Sweden,Nominated for 1 BAFTA Award75 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.9/10'}, {'source': 'Rotten Tomatoes', 'value': '98%'}, {'source': 'Metacritic', 'value': '82/100'}]",82,7.9,"214,860",tt1139797,movie,10 Mar 2009,"$2,122,065",N/A,N/A,True
Air Force One,1997,R,25 Jul 1997,124 min,"Action, Drama, Thriller",Wolfgang Petersen,Andrew W. Marlowe,"Harrison Ford, Gary Oldman, Glenn Close","Communist radicals hijack Air Force One with the U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a veteran, fights to rescue the hostages on board.","English, Russian","Germany, United States",Nominated for 2 Oscars. 7 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZmNiNTQ5ZjMtOThjYS00NDc2LWFlMWMtZTM5OTA1NjRmMGM4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '78%'}, {'source': 'Metacritic', 'value': '61/100'}]",61,6.5,"193,375",tt0118571,movie,26 Dec 2000,"$172,956,409",N/A,N/A,True
One Hundred and One Dalmatians,1961,G,25 Jan 1961,79 min,"Animation, Adventure, Comedy","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","Bill Peet, Dodie Smith","Rod Taylor, Betty Lou Gerson, J. Pat O'Malley","When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",English,United States,Won 1 BAFTA Award1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZGMyMjE4OGUtNGZmMC00YzdmLThkMWYtZWIzMmEzNjA4MzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Rotten Tomatoes', 'value': '98%'}, {'source': 'Metacritic', 'value': '83/100'}]",83,7.3,"165,083",tt0055254,movie,04 Mar 2008,"$144,880,014",N/A,N/A,True
One Day,2011,PG-13,19 Aug 2011,107 min,"Drama, Romance",Lone Scherfig,David Nicholls,"Anne Hathaway, Jim Sturgess, Patricia Clarkson","After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",English,"United States, United Kingdom",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTQ3NTg2MDI3NF5BMl5BanBnXkFtZTcwMjc5MTA1NA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '36%'}, {'source': 'Metacritic', 'value': '48/100'}]",48,7.0,"150,969",tt1563738,movie,29 Nov 2011,"$13,843,771",N/A,N/A,True
One Hour Photo,2002,R,13 Sep 2002,96 min,"Drama, Thriller",Mark Romanek,Mark Romanek,"Robin Williams, Connie Nielsen, Michael Vartan",A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.,English,United States,6 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BYWVkMjAzY2QtZTA4Yi00OWZmLTliMzctZTkyODU4NTc3MmRjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Metacritic', 'value': '64/100'}]",64,6.8,"122,340",tt0265459,movie,30 Aug 2005,"$31,597,131",N/A,N/A,True
The Lucky One,2012,PG-13,20 Apr 2012,101 min,"Drama, Mystery, Romance",Scott Hicks,"Will Fetters, Nicholas Sparks","Zac Efron, Taylor Schilling, Blythe Danner",A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,English,United States,5 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTg5NDk3MjAzMF5BMl5BanBnXkFtZTcwMjUyNzExNw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '20%'}, {'source': 'Metacritic', 'value': '39/100'}]",39,6.4,"107,629",tt1327194,movie,04 Sep 2012,"$60,457,138",N/A,N/A,True
It Happened One Night,1934,Passed,22 Feb 1934,105 min,"Comedy, Romance",Frank Capra,"Robert Riskin, Samuel Hopkins Adams","Clark Gable, Claudette Colbert, Walter Connolly","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",English,United States,Won 5 Oscars. 11 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.1/10'}, {'source': 'Rotten Tomatoes', 'value': '99%'}, {'source': 'Metacritic', 'value': '87/100'}]",87,8.1,"102,443",tt0025316,movie,28 Dec 1999,N/A,N/A,N/A,True
