rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.accountLink,user.realm,user.userId,displayImageUrl,title
4.5,"The Martian is a feel-good space survival story that, despite its predictableness, leaves you wondering how he can possibly return home upon every re-watch.",Arthur T,False,False,False,False,4.5,"May 28, 2022",Arthur T,/user/id/979587644,RT,979587644,,The Martian
4.0,"This was a pretty good movie, overall. There were some moments during it that I could've done without. But I do recommend seeing it!",Jay J,False,False,False,False,4.0,"May 28, 2022",Jay J,/user/id/979587234,RT,979587234,,The Martian
4.5,I loved this film so much! I think everyone should take the time to watch this.,Renee C,False,False,False,False,4.5,"May 28, 2022",Renee C,/user/id/979587188,RT,979587188,,The Martian
5.0,I LOVED this movie! They did a really good job of making it seem believable.,Courtney F,False,False,False,False,5.0,"May 28, 2022",Courtney F,/user/id/979587171,RT,979587171,,The Martian
4.5,"Just to be warned: I read the book! 
But here we find  someting very rare. Which means for me almsot as good as the book. And hey, they probably did it to make it more family friendly.
However, 2 1/2 hozrs makes for along movie, but it's worth the time. You get some thinking, laughter and situations where you think: ""What the f***"")
A whole lot of good movie, seldom right now.
Watch it, you will enjoy it!",Jens-Uwe K,False,False,False,False,4.5,"May 24, 2022",Jens-Uwe K,/user/id/979584030,RT,979584030,,The Martian
4.5,"Pretty magnificent. It looks superb, it's completely convincing when it really shouldn't be and Matt Damon is absolutely masterful, filling the screen, almost single handedly throughout. A performance on a par with , if not better then Tom Hanks in Castaway. I will watch this film again and again for the rest of my life.",Clive E,False,False,False,False,4.5,"May 20, 2022",Clive E,/user/id/979417388,RT,979417388,,The Martian
4.0,Sometimes to witness something bring more fun and excitment than all of the actions you can sell to us. The direction and the photo are on point ! Great piece of scifi,Guillaume B,False,False,False,False,4.0,"May 09, 2022",Guillaume B,/user/id/979571183,RT,979571183,,The Martian
4.0,Not the greatest thing ever but nonetheless still pretty good,Mike J,False,False,False,False,4.0,"May 02, 2022",Mike J,/user/id/979556659,RT,979556659,,The Martian
4.0,"A smart, funny, and goofy astronaut is trying to survive far, far away from Earth—Mars.",Maureen C,False,False,False,False,4.0,"Apr 29, 2022",Maureen C,/user/id/979319806,RT,979319806,https://graph.facebook.com/v3.3/1598509216971032/picture,The Martian
4.0,Very different from what i thought but it was great to experience mars for the first time on film !,Joseph D,False,False,False,False,4.0,"Apr 24, 2022",Joseph D,/user/id/979552476,RT,979552476,https://graph.facebook.com/v3.3/859702968757560/picture,The Martian
4.5,"Great movie, really enjoyed.",michael P,False,False,False,False,4.5,"Apr 22, 2022",michael P,/user/id/979181285,RT,979181285,,The Martian
1.0,"this was a terrible movie, flat and corny dialog. In fact i'm truly awed by how many talented actors managed boring cliche performances.",Jonathan B,False,False,False,False,1.0,"Apr 21, 2022",Jonathan B,/user/id/979549690,RT,979549690,https://graph.facebook.com/v3.3/10158236665153478/picture,The Martian
4.0,"While it may be top-heavy on science and technology, these elements never bog down the film.  Ridley Scott's The Martian, first and foremost, is about human resilience, the ability to overcome impossible odds and survive in an inhospitable environment.  When astronaut and botanist Mark Watney (Matt Damon) is struck by debris during a storm and swept away, he is assumed dead by the rest of the crew and is left behind when they are forced to make an emergency evacuation.  Damon is great in the demanding lead role, balancing his desperation to survive with dark humor.  Dariusz Wolski's cinematography effectively captures the vast, desolate expanses of the landscape.  Despite the fact that the majority of the scenes only feature one character, Scott is able to keep things moving along at a steady pace, making The Martian a compelling experience.",Dave S,False,False,False,False,4.0,"Apr 05, 2022",Dave S,/user/id/978826756,RT,978826756,,The Martian
4.0,This is a must-see Matt Damon sci-fi movie. Man overcoming being stranded on Mars is the essence of the plot here. I won't say anything else other than that I enjoyed it immensely. Highly recommended.,John P,False,False,False,False,4.0,"Mar 16, 2022",John P,/user/id/978349962,RT,978349962,,The Martian
5.0,A thinking person's sci-fi movie to the nth degree but still very entertaining.,Ben F,False,False,False,False,5.0,"Feb 15, 2022",Ben F,/user/id/979474187,RT,979474187,https://graph.facebook.com/v3.3/10101507756016668/picture,The Martian
3.5,Amusing and dramatic realistic sci-fi. 6.5/10,Cees T,False,False,False,False,3.5,"Feb 14, 2022",Cees T,/user/id/923578557,RT,923578557,https://graph.facebook.com/v3.3/1564999382/picture,The Martian
3.5,"The Martian is a rather interesting thought experiment about survival on Mars and tells the story of an astronaut stranded on the planet after an accident. The movie's excitement originates mostly from its display of problem solving rather than from its characters and events and it is a healthy reminder that in order to survive humanity can draw on a diverse skill-set such as humor, pragmatism and imagination. The fact that the movie feels realistic and depicts the planet as indifferent makes the movie believable and the viewer can enjoy the ups and downs of the story without feeling cheated by the screenwriter.",Johan S,False,False,False,False,3.5,"Feb 11, 2022",Johan S,/user/id/978999843,RT,978999843,,The Martian
4.5,A great film which gets so close to the book. Damon is magnificent.,Vincent D,False,False,False,False,4.5,"Feb 07, 2022",Vincent D,/user/id/853784555,RT,853784555,https://graph.facebook.com/v3.3/1204224242/picture,The Martian
3.5,"I'll just get the negatives right out of the way. The movie dragged on quite a bit in the middle and some of the humor (as in many Ridley Scott movies) did not come off as it was probably meant to. However, regarding the positives, this movie is awesome with visuals and had an interestingly unique story that had not been done in space before (only on Earth with the film Castaway). Matt Damon did good and I bought into his struggles and the features of his adventure, and it was good to see him in that role! All of the other actors did well too! Aside from the pacing, it's good!",Max G,False,False,False,False,3.5,"Feb 05, 2022",Max G,/user/id/978449136,RT,978449136,,The Martian
4.5,"It's really well made, and the story it's great, but i will not give all the 5 stars.",Sem M,False,False,False,False,4.5,"Feb 02, 2022",Sem M,/user/id/979106899,RT,979106899,,The Martian
3.5,"I really liked this movie. Matt Damon was awesome. My only complaint is that the science went way over my head sometimes, so trying to digest it all, made me fall behind a little. ",,False,False,False,False,3.5,"Jan 26, 2022",,,Flixster,17e30db2-0a6b-4d63-9f38-ad0369186111,,The Martian
4.5,Good watching! Director's cut is even better,Vlad Z,False,False,False,False,4.5,"Jan 06, 2022",Vlad Z,/user/id/979432963,RT,979432963,,The Martian
4.5,An instant classic one of the best sci fi films you will ever see.,Jelisije J,False,False,False,False,4.5,"Nov 30, 2021",Jelisije J,/user/id/978455277,RT,978455277,,The Martian
4.5,"Thrilling, visually captivating, and emotionally gripping, ""The Martian"" sees Matt Damon give possibly his best acting ever, with Ridley Scott's directing being some of the best ever. From start to finish, this film keeps you gripped to the story, with incredibly groundbreaking, humor that surprisingly lands, and almost realistic CGI and a fantastic soundtrack to be the cherry on top of it all. The A-list cast does very well too, with familiar faces constantly appearing even after you thought that they'd included enough. The ending is a bit predictable, however, and the story at the end is pretty generic. However, this is quickly overshadowed by all the great things about this film. In the end, ""The Martian"" stands as one of Ridley Scott's best films, and one of the best space films to ever hit the big screen.",Aidan B,False,False,False,False,4.5,"Nov 29, 2021",Aidan B,/user/id/979347333,RT,979347333,,The Martian
5.0,"This will be added to your list. You know, the list of movies you'll happily watch on a rainy day or when you're off sick, because of the coolest nerd catchphases, and because each time there's a little bit you missed the last time you saw it...",Tamara W,False,False,False,False,5.0,"Nov 24, 2021",Tamara W,/user/id/979359601,RT,979359601,https://graph.facebook.com/v3.3/10226135868081446/picture,The Martian
5.0,It was awesome and breathtaking,Mahdiar F,False,False,False,False,5.0,"Nov 19, 2021",Mahdiar F,/user/id/979345115,RT,979345115,,The Martian
4.0,"It's a pretty clever film and so easy to understand. Considering that this is a sci-fi film directed by Ridley Scott (Alien, Blade Runner, Prometheus,...), is appreciated that develops in a more comical way, but justly stabilized with the drama. The performances are very good like so all the technical aspects.",Jorge M,False,False,False,False,4.0,"Oct 27, 2021",Jorge M,/user/id/957788756,RT,957788756,https://graph.facebook.com/v3.3/100003557146411/picture,The Martian
