creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name,title
"May 27, 2022",True,False,False,False,https://www.nextbestpicture.com/interstellar.html,While not all-together perfect&#44; the film represents a monumental cinematic achievement that deserves to be placed high within the caliber of Nolan&#8217;s filmography&#46;,102694093,9/10,POSITIVE,Josh Parham,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,josh-parham,3046,Next Best Picture,Interstellar
"Feb 11, 2022",True,False,False,False,https://www.williamsonhomepage.com/community/willco_arts_entertainment/willco-movie-buff-interstellar-a-jaw-dropping-emotional-spectacle/article_e00c50e9-5f6c-5e83-9872-621abf07f94a.html,"Nolans ambition and talent, coupled with arguably the best leading performance he's ever had in McConaughey's Cooper, brings about a wonderful work of science fiction, one that leaves the viewer breathless during and talking after.",102654899,,POSITIVE,Cory Woodroof,http://resizing.flixster.com/W7biH3G2c9r9TvEg_oe7SVkprZo=/128x128/v1.YzsxMDAwMDAyNTkzO2o7MTkxNzk7MjA0ODs1MDA7NTAw,cory-woodroof,100009561,Williamson Home Page,Interstellar
"Oct 9, 2021",True,False,False,False,https://www.nerdophiles.com/2014/11/05/interstellar-delivers-beauty-and-complexity-in-typical-nolan-fashion/,"The inherent message of the film brings hope, but it can definitely get waterlogged by intellectual speak and long-winded scenes.",2830324,3/5,POSITIVE,Therese Lacson,http://resizing.flixster.com/u3N7q0MKN1tXLcuI-QA5ljSxQbM=/128x128/v1.YzszODg1O2o7MTkxNzA7MjA0ODszMDA7MzAw,therese-lacson,3888,Nerdophiles,Interstellar
"Aug 10, 2021",True,False,False,False,https://www.centraltrack.com/space-oddity/,The film is indeed a sight to behold -- and one that demands to be seen on the biggest possible screen.,2812665,B,POSITIVE,Kip Mooney,http://resizing.flixster.com/YmBzWpo6adRzsd3ArUfWAHq5cbQ=/128x128/v1.YzszOTk2O2o7MTkxNzA7MjA0ODs0MDA7NDAw,kip-mooney,2577,Central Track,Interstellar
"Feb 2, 2021",True,False,False,False,http://www.richardcrouse.ca/interstellar-3-stars-one-for-each-hour-of-the-movie-sentimental-sic-fi/,"Nolan reaches for the stars with beautifully composed shots and some mind-bending special effects, but the dime store philosophy of the story never achieves lift off.",2763105,3/5,POSITIVE,Richard Crouse,http://resizing.flixster.com/ddVZYQU5SXSaFdLKV-04T1-GLzc=/128x128/v1.YzszODgxO2o7MTkxNzA7MjA0ODszMDA7MzAw,richard-crouse,3900,Richard Crouse,Interstellar
"Dec 4, 2020",False,True,False,False,http://gonewiththetwins.com/new/interstellar-2014/,Audiences are sure to lose their suspensions of disbelief over the nearly impenetrable climax.,2748053,5/10,NEGATIVE,Mike Massie,http://resizing.flixster.com/aM-Zsf_SZ07guKCiaHui33QVy2M=/128x128/v1.YzszNjc3O2o7MTkxNzA7MjA0ODszMDA7MzAw,mike-massie,3719,Gone With The Twins,Interstellar
"Sep 20, 2020",True,False,False,False,https://reelfilm.com/interstellar/,...an often insanely ambitious science fiction epic that that remains mesmerizing for most of its (admittedly overlong) running time...,2726776,4/4,POSITIVE,David Nusair,http://resizing.flixster.com/X2GvmpRcwk9dr-QS7GjHbFLS4ww=/120x120/v1.YzsyMjk4O2c7MTkxNzA7MjA0ODsxMjA7MTIw,david-nusair,1140,Reel Film Reviews,Interstellar
"Sep 12, 2020",True,False,False,False,https://theindependentcritic.com/interstellar,"Scientists will debate, theologians will contemplate, philosophers will wonder, and cinema lovers will bask in the glory of another remarkable Christopher Nolan achievement.",2723680,3.5/4.0,POSITIVE,Richard Propes,http://resizing.flixster.com/TCqyryTDiY1pyJ1pHg6Vwl7eBJw=/128x128/v1.YzszODAzO2o7MTkxNzA7MjA0ODszMDA7MzAw,richard-propes-27470,3826,TheIndependentCritic.com,Interstellar
"Sep 3, 2020",True,False,False,False,https://www.ign.com/articles/christopher-nolan-interstellar-time-memory,"A big-budget reprise of ideas Nolan has been exploring since the beginning of his career. Not only is it a film about the passage of time, it's also a film about memory.",2719774,,POSITIVE,Siddhant Adlakha,http://resizing.flixster.com/pF-xO4Q77rYjCi4wR3SO4fUl6iQ=/128x128/v1.YzszMDI4O2c7MTkxNzA7MjA0ODsxNTA7MTUw,siddhant-adlakha,811,IGN Movies,Interstellar
"Aug 26, 2020",False,True,False,False,https://thenewdaily.com.au/entertainment/movies/2014/10/31/interstellar-review-stunningly-beautiful/,"None of these characters feel fully-fledged... for a film so rife with schmaltzy musings on the meaning of life, it's alarming how lacking it is in this department.",2716558,2.5/5,NEGATIVE,Stephen A. Russell,http://resizing.flixster.com/RCsWi9Jw9IaG960dTKjGcIbA8ss=/128x128/v1.YzszNzA2O2o7MTkxNzA7MjA0ODszMDA7MzAw,stephen-a-russell,3753,The New Daily (Australia),Interstellar
