creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name,title
"Apr 9, 2022",True,False,False,False,https://deepfocusreview.com/reviews/arrival/,"Both cerebral and achingly emotional, Arrival sustains a message about hope and understanding for a better humanity that audiences may need right now.",102678328,3.5/4,POSITIVE,Brian Eggert,http://resizing.flixster.com/-UjDJuYz_103OKpZ71orINT1QXk=/128x128/v1.Yzs0MDQzO3A7MTkxNzA7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review,Arrival
"Nov 5, 2021",True,False,False,False,https://www.stuff.co.nz/entertainment/stuff-to-watch/300443447/temple-neons-slick-twisted-medical-thrillers-lurid-delights-hard-to-resist,"One of the most beautiful, emotional and original science-fiction films of the last decade.",2837713,,POSITIVE,Alex Behan,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,alex-behan,1323,Stuff.co.nz,Arrival
"Aug 18, 2021",True,False,False,False,https://thefilmfrenzy.com/2016/11/11/arrival-a-divine-experience/,"The best film of 2016. A motion picture that turns out to be far more focused on humanity than on otherworldly visitors, it's a transcendent viewing experience that gets under the skin and into the heart.",2814707,4/4,POSITIVE,Matt Brunson,http://resizing.flixster.com/_i-2i3zO3Trs9FaTAcdK7q-VzAQ=/38x42/v1.YzsxNzI4O2o7MTkxNzA7MjA0ODszODs0Mg,matt-brunson,3324,Film Frenzy,Arrival
"Jul 28, 2021",True,False,False,False,https://arstechnica.com/gaming/2019/12/superhero-films-soared-this-decade-but-the-2010s-offered-much-more/,"Arrival just might be the overall best movie of the decade with the way it cleverly examines what we believe while simultaneously delivering a tense, gripping sci-fi story.",2809342,,POSITIVE,Nathan Mattise,http://resizing.flixster.com/IoLC5Y5icjRffWrkf_EjyUHN698=/128x128/v1.YzszNjc5O2o7MTkxNzA7MjA0ODszMDA7MzAw,nathan-mattise,2985,Ars Technica,Arrival
"Jul 2, 2021",True,False,False,False,http://www.mynewplaidpants.com/2016/11/interplanetary-poetry-slam.html,Hypnotic and strange and beautiful - have I said beautiful fifteen times yet? Because it deserves that word no fewer than that many.,2803011,,POSITIVE,Jason Adams,http://resizing.flixster.com/C1b6miHh0hry9YRKzeFIkZVRMa4=/128x128/v1.YzszNTg3O3A7MTkxNzA7MjA0ODs2Mzk7NjM5,jason-adams,4003,My New Plaid Pants,Arrival
"Apr 23, 2021",True,False,False,False,https://www.nme.com/reviews/arrival-film-review-1838102,"An astonishingly beautiful film, both visually and emotionally.",2785880,5/5,POSITIVE,Olly Richards,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,olly-richards,3240,NME,Arrival
"Apr 13, 2021",True,False,False,False,https://charlottesometimesgoestothemovies.com/2021/04/08/stream-on-vol-3/,"One of the finest, if not the finest, science fiction movie of the 21st Century.",2783478,,POSITIVE,Charlotte Harrison,http://resizing.flixster.com/fvpXMMf8WdJ6AckrUYRejLA-A58=/128x128/v1.YzszMTI3O2o7MTkxNzA7MjA0ODszMDA7MzAw,charlotte-harrison,3202,Charlotte Sometimes Goes to the Movies,Arrival
"Apr 6, 2021",True,False,False,False,https://www.firstpost.com/entertainment/the-prescient-wisdom-of-arrival-how-it-uncovered-a-culture-of-healing-4-years-before-the-world-began-bleeding-9320071.html,"True to its theme, Arrival itself seems like a premonition of a more tangible event.",2782384,,POSITIVE,Rahul Desai,http://resizing.flixster.com/Mj70CflEwV9U1OLCJ78v1V7UC3I=/128x128/v1.YzszMjg2O2c7MTkxNzA7MjA0ODsxNTA7MTUw,rahul-desai,2784,Firstpost,Arrival
"Feb 13, 2021",True,False,False,False,https://charlottesometimesgoestothemovies.com/2021/02/11/pick-of-the-week-5/,"A slow-burn thriller that is profound and beautiful. To say any more would spoil it,",2767473,,POSITIVE,Charlotte Harrison,http://resizing.flixster.com/fvpXMMf8WdJ6AckrUYRejLA-A58=/128x128/v1.YzszMTI3O2o7MTkxNzA7MjA0ODszMDA7MzAw,charlotte-harrison,3201,VultureHound,Arrival
"Jan 4, 2021",True,False,False,False,http://battleshippretension.com/arrival-patience-and-dilligence-by-scott-nye/,"We'll always have power structures that are reflexively defensive, but Arrival reminds us many in prominent positions are committed to peace.",2755455,,POSITIVE,Scott Nye,http://resizing.flixster.com/E9mY7xDPZBgaiJTh6W2y8dykPbQ=/128x128/v1.YzszMDQ3O2o7MTkxNzA7MjA0ODsxNzI2OzE3MjY,scott-nye,3090,Battleship Pretension,Arrival
"Dec 4, 2020",True,False,False,False,http://gonewiththetwins.com/new/arrival-2016/,"If there was such a precedent, this film might be considered an alien encounter procedural.",2748229,7/10,POSITIVE,Mike Massie,http://resizing.flixster.com/aM-Zsf_SZ07guKCiaHui33QVy2M=/128x128/v1.YzszNjc3O2o7MTkxNzA7MjA0ODszMDA7MzAw,mike-massie,3719,Gone With The Twins,Arrival
"Oct 28, 2020",True,False,False,False,https://www.filmcompanion.in/streaming/netflix/best-movies-on-netflix-baahubali-the-irishman-lagaan-andhadhun/,"Arrival expertly uses conventions of the genre to explore free-will, experiences and memory, in a film that is as personal as it is relatable.",2738005,,POSITIVE,Film Companion Staff,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,film-companion-staff,3101,Film Companion,Arrival
"Sep 2, 2020",True,False,False,False,https://theindependentcritic.com/arrival,"A film as comfortable with universe-twisting ideologies as it is with the intimate, perhaps universal, experiences of communication, grief, discovery and trust.",2719244,3.5/4.0,POSITIVE,Richard Propes,http://resizing.flixster.com/TCqyryTDiY1pyJ1pHg6Vwl7eBJw=/128x128/v1.YzszODAzO2o7MTkxNzA7MjA0ODszMDA7MzAw,richard-propes-27470,3826,TheIndependentCritic.com,Arrival
"Aug 13, 2020",True,False,False,False,https://www.wsws.org/en/articles/2016/11/17/ridg-n17.html,Arrival is a feeble science fiction parable from Denis Villeneuve.,2712921,,POSITIVE,Joanne Laurier,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,joanne-laurier,484,World Socialist Web Site,Arrival
"Jul 17, 2020",True,False,False,False,https://confessionsfromageekmind.com/2016/12/30/now-thats-a-proper-introduction-arrival-review/,Arrival showcases the best performance you'll see by Amy Adams.,2705639,5/5,POSITIVE,Kelechi Ehenulo,http://resizing.flixster.com/6ZJJXxN-YD1KuC6aEKjvx8sZAec=/128x128/v1.YzszNzAzO2o7MTkxNzA7MjA0ODszMDA7MzAw,kelechi-ehenulo,3739,Confessions From A Geek Mind,Arrival
"Jun 28, 2020",True,False,False,False,https://polvora.com.mx/2016/11/12/la-llegada-arrival/,It's not easy to encounter a film that makes you meditate on its content days after watching it. And that's what Arrival does. [Full review in Spanish],2699812,,POSITIVE,Ricardo Gallegos,http://resizing.flixster.com/ODeKHk83Ao1oB2v7bWKjdu_65bY=/128x128/v1.YzszNjkyO2o7MTkxNzA7MjA0ODszMDA7MzAw,ricardo-gallegos,3730,Pólvora,Arrival
"Jun 26, 2020",True,False,False,False,https://www.cinemaficionados.com/2016/11/critica-pelicula-arrival.html,Villeneuve's subtlety captures the close encounter of the third kind with dazzling imagery to reveal the contradictions of human existence. It is an amazing experience. [Full review in Spanish],2699447,8/10,POSITIVE,Yasser Medina,http://resizing.flixster.com/lTgFO288BqebXcLBnwKQcK4oUos=/128x128/v1.YzsxMDAwMDAyNjg0O3A7MTkxNzk7MjA0ODsyOTQ7Mjk0,yasser-medina,3731,Cinemaficionados,Arrival
"May 7, 2020",True,False,False,False,https://www.youtube.com/watch?v=u5Fd1uh9mKQ&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=174,It's a very immersive movie.,2688492,,POSITIVE,Andrew Galdi,http://resizing.flixster.com/O2pFVuixQlA6milreVpVn7pt0Kk=/128x128/v1.YzszNTc2O2o7MTkxNzA7MjA0ODsxNDAwOzE0MDE,andrew-galdi,3639,Movie Bitches,Arrival
"May 7, 2020",True,False,False,False,https://www.youtube.com/watch?v=u5Fd1uh9mKQ&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=174,It was a cool movie.,2688488,,POSITIVE,Avaryl Halley,http://resizing.flixster.com/C1BTfDOhIKabehemY5ug83TyWLA=/128x128/v1.YzszNTc1O2o7MTkxNzA7MjA0ODsxNDAwOzE0MDE,avaryl-halley,3639,Movie Bitches,Arrival
"Apr 28, 2020",True,False,False,False,https://thirdcoastreview.com/2016/11/10/film-review-arrival-a-beautifully-human-story/,What I cherish so much about Arrival is that it places the highest value on science and smarts over braun and firepower.,2686312,,POSITIVE,Steven Prokopy,http://resizing.flixster.com/wm1t9VPD0e4QGxOFkYTibPVYd_s=/128x128/v1.YzszMzc0O2o7MTkxNzA7MjA0ODszMDA7MzAw,steven-prokopy,3477,Third Coast Review,Arrival
"Mar 11, 2020",True,False,False,False,https://www.sfsite.com/fsf/2017/km1703.htm,[The] movie-one of the best and brainiest sf films in recent memory-depicts the linguistic and scientific challenge of human scholars to understand and be understood by creatures from another world.,2676498,,POSITIVE,Kathi Maio,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,kathi-maio,3662,The Magazine of Fantasy & Science Fiction,Arrival
"Feb 13, 2020",True,False,False,False,https://aboutboulder.com/blog/we-are-not-alone/,"The success of Arrival ultimately relies on the performance of Amy Adams. If she chose to retire from acting right now, she could be secure in the knowledge that her portrayal of Banks is career best work.",2669454,,POSITIVE,Tim Brennan,http://resizing.flixster.com/r8nvnHjAwbkxoHHuxWAPGoeTxWA=/128x128/v1.YzszMDk2O2o7MTkxNzA7MjA0ODszMDA7MzAw,tim-brennan,3167,About Boulder,Arrival
"Jan 23, 2020",True,False,False,False,https://www.sarahsbackstagepass.com/arrival-pg-13-&#9733;&#9733;&#9733;%C2%BD/,"Arrival has aliens in it, but it's not a movie about aliens. It will challenge you with its complex plot and its ideas about life, death, communication and the nature of time. It is very much worth seeing.",2662497,3.5/4,POSITIVE,Sarah Knight Adamson,http://resizing.flixster.com/fQABFUsiNTDIkemNcZSMRFOL1Os=/128x128/v1.YzsyODk2O2c7MTkxNzA7MjA0ODsxNTA7MTUw,sarah-knight-adamson,2995,Sarah's Backstage Pass,Arrival
"Jan 15, 2020",True,False,False,False,https://www.memphisflyer.com/FilmTVEtcBlog/archives/2016/11/18/arrival,"Villeneuve has accomplished what I thought impossible. Arrival stays true to the revelatory spirit of ""Story of Your Life"" while excising some of the story's more difficult concepts and adding a dash of Hollywood razzmatazz.",2660340,,POSITIVE,Chris McCoy,http://resizing.flixster.com/9QYTF_nSAcA49iax-OaNjXGsdds=/128x128/v1.YzszNTM2O2o7MTkxNzA7MjA0ODszMDA7MzAw,chris-mccoy,284,Memphis Flyer,Arrival
"Dec 7, 2019",True,False,False,False,https://spectrumculture.com/2016/11/10/arrival/,"This is an excellently made film that questions our notions of time, kindness and understanding.",2651878,3.75/5,POSITIVE,David Harris,http://resizing.flixster.com/X5APAF4V_0w5ATy6EWBiDsTh9ic=/128x128/v1.YzszNDI5O2o7MTkxNzA7MjA0ODszMDA7MzAw,david-harris,2923,Spectrum Culture,Arrival
"Nov 14, 2019",True,False,False,False,https://www.flickfeast.co.uk/reviews/film-reviews/lff-2016-arrival-2016/,"Arrival is astonishing, thought-provoking filmmaking with a career-defining role for [Amy] Adams.",2645660,4.5/5,POSITIVE,Katie Smith-Wong,http://resizing.flixster.com/sc4J1vfH7dKR5hJgB1TResTSKeY=/128x128/v1.YzszNDcyO2o7MTkxNzA7MjA0ODszMDA7MzAw,katie-smith-wong,3449,Flick Feast,Arrival
"Oct 31, 2019",True,False,False,False,http://behindthelensonline.net/site/reviews/arrival/,"Cerebral and intelligent, Arrival leads one to a fascination with the art of communication and the ""what if"" of possibility and the unknown.",2640930,,POSITIVE,Debbie Lynn Elias,http://resizing.flixster.com/jyGCQ3BnZ1IIktsd14WPlcPAjBs=/128x128/v1.YzszMTgyO2o7MTkxNzA7MjA0ODszMDA7MzAw,debbie-lynn-elias-23430,3211,Behind The Lens,Arrival
