creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name,title
"May 27, 2022",True,False,False,False,https://deepfocusreview.com/reviews/the-martian/,A crowd-pleaser&#44; complete with several disco songs on the kitschy soundtrack and a predictably applaud-worthy climax&#46;&#10;&#10;,102694121,3.5/4,POSITIVE,Brian Eggert,http://resizing.flixster.com/-UjDJuYz_103OKpZ71orINT1QXk=/128x128/v1.Yzs0MDQzO3A7MTkxNzA7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review,The Martian
"Sep 13, 2021",True,False,False,False,https://media.pauline.org/reviews/ArticleID/705/The-Martian-Movie-Review,"While The Martian honors the common good and the value of a single human life, I also reflected on the fictional worldwide effort it took to bring Watney home.",2822514,,POSITIVE,Hosea Rupprecht,http://resizing.flixster.com/3QQVUdJ20RkKYqo1Os8EMI3jMPY=/128x128/v1.YzszODIxO2o7MTkxNzA7MjA0ODszMDA7MzAw,hosea-rupprecht,3845,Pauline Center for Media Studies,The Martian
"Aug 19, 2021",True,False,False,False,https://michaeljcinema.com/2015/10/02/the-martian/,A sci-fi movie heavy on science but even heavier on the abilities of the human mind to work through any situation presents.,2815157,4/5,POSITIVE,Michael J. Casey,http://resizing.flixster.com/36942orCbf_8ou4PDsEMjhaIxJA=/128x128/v1.YzszMzEyO2o7MTkxNzA7MjA0ODszMDA7MzAw,michael-j-casey,3567,Michael J. Cinema,The Martian
"Aug 10, 2021",True,False,False,False,https://www.centraltrack.com/life-on-mars/,The best blockbuster of the year arrived later than anticipated.,2812648,A,POSITIVE,Kip Mooney,http://resizing.flixster.com/YmBzWpo6adRzsd3ArUfWAHq5cbQ=/128x128/v1.YzszOTk2O2o7MTkxNzA7MjA0ODs0MDA7NDAw,kip-mooney,2577,Central Track,The Martian
"Jul 28, 2021",True,False,False,False,https://arstechnica.com/gaming/2019/12/superhero-films-soared-this-decade-but-the-2010s-offered-much-more/,"The Martian somehow made the intricacies of growing crops in space exciting, continuing the trend of excellent science fiction that leaned heavily into the science.",2809344,,POSITIVE,Nathan Mattise,http://resizing.flixster.com/IoLC5Y5icjRffWrkf_EjyUHN698=/128x128/v1.YzszNjc5O2o7MTkxNzA7MjA0ODszMDA7MzAw,nathan-mattise,2985,Ars Technica,The Martian
"Jun 8, 2021",True,False,False,False,https://www.nme.com/reviews/reviews-various-artists-16273-310270,Ridley Scott and Matt Damon team up for a space-based drama that'll make you chuckle.,2796562,4/5,POSITIVE,Ben Homewood,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,ben-homewood,3240,NME,The Martian
"Mar 4, 2021",True,False,False,False,http://www.richardcrouse.ca/the-martian-4-stars-thrilling-funny-and-above-all-human/,"A fun film, a space Western about the strength of the human spirit and the indomitable will. ""Interstellar"" tread similar thematic ground last year but did so without the humour, the cheesy 70's soundtrack or, most importantly, Matt Damon.",2773401,4/5,POSITIVE,Richard Crouse,http://resizing.flixster.com/ddVZYQU5SXSaFdLKV-04T1-GLzc=/128x128/v1.YzszODgxO2o7MTkxNzA7MjA0ODszMDA7MzAw,richard-crouse,3900,Richard Crouse,The Martian
"Jan 30, 2021",True,False,False,False,https://www.nextbestpicture.com/the-martian.html,It seems to understand that the quotidian of life in space as a lone man attempts to survive is as fascinating as any storm or explosion.,2761279,8/10,POSITIVE,Nicole Ackman,http://resizing.flixster.com/ET1lIaWVpyK6ZyMRr3qPrAYBen8=/128x128/v1.YzszODc5O2o7MTkxNzA7MjA0ODszMDA7MzAw,nicole-ackman,3046,Next Best Picture,The Martian
"Jan 15, 2021",True,False,False,False,http://battleshippretension.com/the-martian-solo-mission-by-rudie-obias/,"The Martian is exactly the reason why we watch movies. It's fun, exciting, and a thrilling spectacle with deep emotional payoffs and strong performances from its all-star cast.",2757415,,POSITIVE,Rudie Obias,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,rudie-obias,3090,Battleship Pretension,The Martian
"Dec 16, 2020",True,False,False,False,http://cinemasight.com/review-the-martian-2015/,Matt Damon's strong central performance anchors this compelling sci-fi adventure about a man stuck on Mars while the folks back home try to find an easy way to rescue him.,2751657,4/4,POSITIVE,Wesley Lovell,http://resizing.flixster.com/zPoWdYxw_bFD7zHV8IZ2NFdyEI4=/75x100/v1.YzsyMDEwO2c7MTkxNzA7MjA0ODs3NTsxMDA,wesley-lovell,349,Cinema Sight,The Martian
"Dec 4, 2020",True,False,False,False,http://gonewiththetwins.com/new/martian-2015/,"When the bits of suspense arrive, they're handled with Scott's veteran expertise and Damon's sensational screen presence.",2748173,6/10,POSITIVE,Mike Massie,http://resizing.flixster.com/aM-Zsf_SZ07guKCiaHui33QVy2M=/128x128/v1.YzszNjc3O2o7MTkxNzA7MjA0ODszMDA7MzAw,mike-massie,3719,Gone With The Twins,The Martian
"Nov 10, 2020",True,False,False,False,https://nowtoronto.com/movies/ten-movies-to-take-your-mind-off-the-election,"[Damon] is supported by a top-flight cast that includes Jessica Chastain, Donald Glover, Chiwetel Ejiofor, Benedict Wong, Aksel Hennie...",2740877,,POSITIVE,Norman Wilner,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,norman-wilner,2407,NOW Toronto,The Martian
"Aug 20, 2020",False,True,False,False,https://www.wsws.org/en/articles/2015/10/07/mart-o07.html,"The screenplay, unhappily, has retained the general flatness of the scenes on Earth...Scott has a number of talented performers at his disposal, who struggle to make something of the oddly colorless and often drama-less dialogue...",2715211,,NEGATIVE,David Walsh,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,david-walsh,484,World Socialist Web Site,The Martian
"Jul 3, 2020",True,False,False,False,https://www.thelastthingisee.com/2015/10/the-martian-movie-review.html,"An epic space adventure, a story of one man's determination, fighting for survival in the most hostile environment imaginable, an effects-driven tentpole, a small human story, and much more.",2701548,A,POSITIVE,Brent McKnight,http://resizing.flixster.com/unYpHhDq7qCushsM7L5RigM5wJA=/128x128/v1.YzszNjk4O2o7MTkxNzA7MjA0ODszMDA7MzAw,brent-mcknight,3734,The Last Thing I See,The Martian
"Jun 26, 2020",True,False,False,False,https://www.cinemaficionados.com/2015/10/the-martian-2015.html,It has to be said directly: The Martian is a very clever movie and perhaps the most intriguing science fiction movie that Ridley Scott has directed in a long time. [Full review in Spanish],2699128,7/10,POSITIVE,Yasser Medina,http://resizing.flixster.com/lTgFO288BqebXcLBnwKQcK4oUos=/128x128/v1.YzsxMDAwMDAyNjg0O3A7MTkxNzk7MjA0ODsyOTQ7Mjk0,yasser-medina,3731,Cinemaficionados,The Martian
"Apr 29, 2020",True,False,False,False,https://www.youtube.com/watch?v=0rUe7WS78P0&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=237,"It was fun, it was fluffy, it was entertaining, but I didn't think it was a great movie.",2686602,,POSITIVE,Andrew Galdi,http://resizing.flixster.com/O2pFVuixQlA6milreVpVn7pt0Kk=/128x128/v1.YzszNTc2O2o7MTkxNzA7MjA0ODsxNDAwOzE0MDE,andrew-galdi,3639,Movie Bitches,The Martian
"Apr 29, 2020",True,False,False,False,https://www.youtube.com/watch?v=0rUe7WS78P0&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=237,I was pumped up at the end.,2686601,,POSITIVE,Avaryl Halley,http://resizing.flixster.com/C1BTfDOhIKabehemY5ug83TyWLA=/128x128/v1.YzszNTc1O2o7MTkxNzA7MjA0ODsxNDAwOzE0MDE,avaryl-halley,3639,Movie Bitches,The Martian
"Apr 10, 2020",True,False,False,False,https://www.espinof.com/criticas/ridley-scott-marte-the-martian-asombrosa-y-sobrecogedora,The almost octogenarian filmmaker has managed to set up a production that is a constant paragon of cinematographic virtues. [Full Review in Spanish],2682547,,POSITIVE,Sergio Benítez,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,sergio-benitez,2621,Espinof,The Martian
"Apr 10, 2020",False,True,False,False,https://www.espinof.com/criticas/marte-the-martian-una-patata-abonada-con-mierda,"Once again, mixing tragedy and comedy is not something that everyone knows how to do. Scott has plenty of talent not to fall for fashion. And yet he does. [Full Review in Spanish]",2682529,,NEGATIVE,Alberto Abuín,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,alberto-abuin,2621,Espinof,The Martian
"Apr 7, 2020",True,False,False,False,https://www.cinema76.com/home/the-martian-review,"A crowd pleaser for all ages that is fun but tense, meaty yet light, and about as inspiring as it gets.",2681774,,POSITIVE,Dan Scully,http://resizing.flixster.com/qSFyJ_jESK2O7Fay3MIIp8daJaA=/128x128/v1.YzszNTczO2o7MTkxNzA7MjA0ODszMDA7MzAw,dan-scully,3138,Cinema76,The Martian
